"ID","NOREK","TGL_TRAN","TGL_EFEKTIF","JAM_TRAN","SEQ","DESK_TRAN","SALDO_AWAL_MUTASI","MUTASI_DEBET","MUTASI_KREDIT","SALDO_AKHIR_MUTASI","GLSIGN","TRUSER","KODE_TRAN","KODE_TRAN_TELLER","TRREMK","TLBDS1","TLBDS2","REMARK_CUSTOM"
"1","55601001589303","2026-03-02 03:54:00","2026-03-02 03:54:00","35400","0","OffUs 1 260301 001999411669 CANNA 8 AMT:562.700,00MDR:8.441,00","405648045.00",".00","554259.00","406202304.00","Cr","BRIMTXDT","584","","OffUs 1 260301 001999411669 CANNA 8","AMT:562.700,00MDR:8.441,00","","OffUs 1 260301 001999411669 CANNA 8"
"2","55601001589303","2026-03-02 03:55:12","2026-03-02 03:55:12","35512","0","OffUs 1 260301 001999504820 CLIFF REG AMT:1.639.600,00MDR:24.594,00","406202304.00",".00","1615006.00","407817310.00","Cr","BRIMTXDT","584","","OffUs 1 260301 001999504820 CLIFF REG","AMT:1.639.600,00MDR:24.594,00","","OffUs 1 260301 001999504820 CLIFF REG"
"3","55601001589303","2026-03-03 04:17:33","2026-03-03 04:17:33","41733","0","OffUs 1 260302 001999504819 DECK REG 1 AMT:3.702.700,00MDR:55.542,00","407817310.00",".00","3647158.00","411464468.00","Cr","BRIMTXDT","584","","OffUs 1 260302 001999504819 DECK REG 1","AMT:3.702.700,00MDR:55.542,00","","OffUs 1 260302 001999504819 DECK REG 1"
"4","55601001589303","2026-03-03 10:13:38","2026-03-03 10:13:38","101338","8000007","USAHA ; ESB:INDS:0002800D:6f96beb3a370","411464468.00",".00","48810300.00","460274768.00","Cr","4641051","1","1111","","ESB:INDS:0002800D:6f96beb3a370","USAHA ;","USAHA ; ESB:INDS:0002800D:6f96beb3a370"
